"Reynolds";"Amplitude";"Temps";"Premiere_cesure";"nb_cesures";"volume";"surface";"ratio_vs";"satellite";"long_onde";"poly4";"poly3";"poly2";"poly1";"poly0"
103;0,03;345;139,558;21;1015,94899333816;1245,43432582402;1,22588273032471;1;6,875;-2,96161831316268e-09;1,25344263510079e-06;-0,000175775359894354;0,0125259520954357;1,0573501371477
103;0,03;345,5;140,035;21;1018,01570206253;1247,56860171844;1,22549052945926;1;6,875;-2,88850297681914e-09;1,22151814145127e-06;-0,000171274114940325;0,012301233940851;1,06013836619473
103;0,03;346;140,514;21;1020,62030168428;1249,67704925991;1,22442895482054;1;6,875;-2,81963932784941e-09;1,19131866882401e-06;-0,000166983340707532;0,0120845341121662;1,06289951171735
103;0,03;346,5;140,992;21;1022,98841164199;1252,28775942878;1,22414657407383;1;6,81299999999999;-2,74550099451887e-09;1,15897877431247e-06;-0,000162430016002443;0,0118578810244293;1,06572095390125
103;0,03;347;137,332;22;1025,26523894793;1254,60530828321;1,22368852529383;1;6,813;-2,66752216127615e-09;1,12441872894707e-06;-0,000157449035362796;0,0115999183625116;1,06920796459393
103;0,03;347,5;137,762;22;1027,57488215948;1256,60446390447;1,22288359293454;1;6,875;-2,59297488254198e-09;1,09132990811922e-06;-0,000152671850735761;0,0113517618643783;1,07265966748434
103;0,03;348;138,187;22;1029,7750257221;1258,53795552629;1,22214845387591;1;6,875;-2,51530907039307e-09;1,05627977237573e-06;-0,000147484818813578;0,0110704180373952;1,07688418179376
103;0,03;348,5;138,603;22;1030,97761147125;1258,33045491326;1,22052161066579;1;6,875;-2,43368998304892e-09;1,01939234371492e-06;-0,000142044274582602;0,010780078145436;1,08101407456593
103;0,03;349;139,021;22;1029,88808770018;1256,57355151253;1,22010688978698;1;6,875;-2,35736158573845e-09;9,8435406992437e-07;-0,000136746347019493;0,0104853317341728;1,08553587823189
103;0,03;349,5;137,205;23;1026,71873928507;1254,09788685436;1,22146196311526;1;6,875;-2,27485158608555e-09;9,46705175359152e-07;-0,000131113337120491;0,0101767871068746;1,09018946798575
103;0,03;350;137,666;23;1022,31560568574;1251,28726001301;1,22397354892541;1;6,875;-2,20006550370563e-09;9,12071040038314e-07;-0,000125824602186142;0,00987901518368592;1,09487149706546
103;0,04;344;124,879;22;1044,50399684913;1213,15502598897;1,16146518313821;1;6,875;-2,17763674253635e-09;9,78744758204181e-07;-0,000156768724224909;0,0130855993484645;1,10268842373942
103;0,04;344,5;125,354;22;1042,16887231087;1209,73468109461;1,16078565886562;1;6,813;-3,16493230442699e-09;1,38711597043084e-06;-0,000209338032050579;0,015278870047688;1,08643000464493
103;0,04;345;125,832;22;1042,70170580052;1208,75120431028;1,15924928249952;1;6,874;-1,99941375710309e-09;8,97611460677156e-07;-0,00014464187878649;0,0124243594358674;1,11232027941646
103;0,04;345,5;126,31;21;1045,18902183489;1210,94279823931;1,15858736835317;1;6,876;-1,91164164551693e-09;8,5717530176017e-07;-0,000138505246558061;0,0120828590072541;1,11747460468932
103;0,04;346;122,613;22;1047,92273889293;1213,7183734063;1,15821360522105;1;6,876;-1,81995049247545e-09;8,14852646678752e-07;-0,000132059119561643;0,0117203735500256;1,12313477305638
103;0,04;346,5;123,027;22;1050,41552154976;1216,15938844061;1,15778885925668;1;6,874;-1,73351587662552e-09;7,74735890363287e-07;-0,000125892712473568;0,0113667718048377;1,12898487541128
103;0,04;347;123,438;22;1052,45113904208;1217,44376538896;1,1567698681927;1;6,876;-1,64728128705385e-09;7,34476565682255e-07;-0,000119669161339797;0,0110095964423174;1,13472512836312
103;0,04;347,5;123,838;22;1054,47182313996;1219,14249264431;1,15616412491136;1;6,874;-1,55680307458386e-09;6,91702083532487e-07;-0,000112944238009669;0,010614481849793;1,1413169604162
103;0,04;348;124,237;22;1056,96590099435;1221,30239495365;1,15547946608751;1;6,875;-1,46771268199197e-09;6,49282704944874e-07;-0,00010623114562319;0,0102180669029656;1,14787862802313
103;0,04;348,5;124,633;21;1059,60431719529;1223,54713242253;1,15472078828556;1;6,875;-1,37372339536408e-09;6,04218695660168e-07;-9,90439793078113e-05;0,00978996474183763;1,15508982885148
103;0,04;349;125,042;21;1059,22249140846;1221,90300186651;1,15358483394903;1;6,875;-1,27525228485093e-09;5,57006679594358e-07;-9,15218338067079e-05;0,0093430572360191;1,16259208574032
103;0,04;349,5;125,459;21;1056,69461890686;1219,98602951456;1,15453037016184;1;6,875;-1,18096859351553e-09;5,11380810424137e-07;-8,41479676312244e-05;0,00889396235902589;1,17053207244273
103;0,04;350;123,954;22;1051,45905633386;1216,20672661178;1,15668481743107;1;6,875;-1,09244708899178e-09;4,68176992090666e-07;-7,70789780347725e-05;0,00845435502629858;1,17865077626258
103;0,05;344;119,723;20;1050,36765647463;1184,59328996033;1,12778919139247;1;6,813;-2,50823821449987e-09;1,18954217002902e-06;-0,000198996447643339;0,0155061845899496;1,137543970434
103;0,05;344,5;120,152;20;1047,75280401793;1182,06857357872;1,1281941399209;1;6,875;-3,22577257607565e-09;1,48378926901696e-06;-0,000236285468737586;0,0170056217881701;1,12827323074573
103;0,05;345;120,584;20;1046,82987157671;1179,61490449498;1,12684490242743;1;6,875;-2,66531689399434e-09;1,24627217569266e-06;-0,000204396671570243;0,0155520185828608;1,14290442054727
103;0,05;345,5;119,468;20;1048,95859279737;1181,42716570002;1,12628579794497;1;6,875;-2,56189807203446e-09;1,19852270033648e-06;-0,000197102529411294;0,0151389123629438;1,14945972209805
103;0,05;346;119,925;20;1052,31850672529;1184,70935674802;1,12580872537795;1;6,875;-2,46146068735358e-09;1,15167303709048e-06;-0,000189850959502349;0,0147219082686003;1,15613440882873
103;0,05;346,5;120,395;20;1054,47415405694;1186,80437892961;1,12549404303894;1;6,875;-2,36027002569727e-09;1,10413017277397e-06;-0,000182432075809517;0,0142908928062172;1,16316234243054
